incl0801.srt.bam	incl0802.srt.bam	incl1601.srt.bam	incl1602.srt.bam	incl3201.srt.bam	incl3202.srt.bam	inclbl01.srt.bam	inclbl02.srt.bam	ivcl0801.srt.bam	ivcl0802.srt.bam	ivcl1601.srt.bam	ivcl1602.srt.bam	ivcl3201.srt.bam	ivcl3202.srt.bam
LOC101103708	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101103461	0	0	0	0	0	0	0	0	16	0	0	6	10	21
CYP17A1	0	0	0	2	14	276	4	6	0	0	0	0	0	2
LOC101102968	0	0	2	0	0	0	0	1	6	62	10	10	3	6
LOC101102711	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC101102466	10	176	2	45	88	1240	992	958	34	116	302	80	48	52
LOC105606123	1	6	0	0	0	0	0	0	11	9	2	4	13	1
LOC101123541	0	30	0	0	0	13	0	15	3	19	40	4	33	24
ABTB1	8	36	10	14	4	322	14	313	50	0	32	41	138	10
LOC101123021	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105606122	2	61	16	1	1	55	0	2	27	27	15	55	59	66
LOC101122769	0	0	0	0	0	0	0	0	15	13	4	11	13	0
LOC101122261	0	0	0	2	4	31	0	1	95	73	5	28	58	0
LOC105606118	0	12	12	9	97	237	101	105	65	38	28	109	76	63
LOC105606117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606116	3	0	0	0	0	0	0	0	0	0	3	1	0	0
LOC105606114	0	0	0	0	0	0	0	0	2	0	2	0	3	0
LOC105606115	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC101122009	0	0	0	0	0	4	0	2	0	0	0	0	0	0
LOC101121756	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606113	0	2	0	0	2	7	0	2	5	10	3	3	0	0
LOC101121500	0	0	0	0	0	0	0	0	9	7	43	6	17	4
LOC101120995	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101120735	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101120480	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606111	1	2	14	1	0	1	0	48	0	0	1	0	0	0
LOC443162	0	0	1	0	4	72	325	77	0	10	0	0	0	0
LOC105606110	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC106990114	0	6	8	0	0	1	4	1	0	3	5	15	0	23
LOC105606108	0	0	0	0	0	0	0	2	0	0	0	0	44	0
LOC101119195	0	0	0	0	0	0	0	0	0	1	0	0	0	1
LOC105606107	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606106	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606104	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC101118429	406	717	652	323	37	413	50	590	924	953	774	1325	769	540
LOC101118174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606103	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC105606102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101117914	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101117402	0	0	2	0	6	134	38	50	0	0	1	0	0	0
LOC101117146	0	2	32	0	2	44	25	12	0	8	11	4	0	5
LOC101116892	0	41	0	36	1	89	15	57	0	5	3	0	0	0
LOC101116639	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101116386	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606101	0	0	0	0	0	0	0	0	4	0	0	0	0	0
LOC105606099	0	0	0	0	0	0	0	6	0	0	0	0	0	0
LOC105606098	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606097	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101115864	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC105606096	0	0	2	6	0	0	0	0	43	32	18	4	11	22
LOC105606095	135	256	202	164	99	541	96	227	273	75	49	294	205	169
LOC101115610	1	15	2	9	0	0	0	0	25	12	22	15	17	29
LOC101115353	4857	4869	7854	5459	0	35	0	31	5716	14843	7811	9283	7557	7383
LOC101115105	0	0	0	0	0	0	0	0	0	0	48	0	0	0
LOC101114853	0	0	6	11	2	0	30	2	57	26	29	49	47	5
LOC101114596	0	0	0	0	0	0	0	0	0	0	0	2	0	0
SYT2	10	2	10	0	0	0	0	6	21	25	17	24	12	10
LOC106992040	0	0	0	0	0	0	0	0	6	0	8	3	18	3
LOC101113832	0	0	0	0	0	0	0	0	10	0	0	0	0	0
LOC105606089	0	1	2	0	0	0	1	0	5	0	0	3	1	2
LOC105606088	0	0	0	0	4	69	0	4	5	0	0	0	57	0
LOC101112551	0	0	0	0	0	0	0	0	0	0	2	18	0	0
LOC101112800	5	0	0	0	0	0	0	0	0	0	4	51	0	0
LOC101112300	1302	1537	788	999	0	0	0	1	1760	640	3030	1442	1303	673
LOC105606087	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606083	18	2	6	0	0	0	0	0	0	0	0	0	0	0
LOC105606082	2	4	0	0	0	0	0	0	9	0	0	6	12	8
LOC105606081	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606080	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC101111266	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC101111531	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606076	0	0	0	1	2	3	4	4	0	0	2	0	0	0
LOC105606075	0	0	0	0	2	18	0	0	0	0	0	0	1	0
LOC105606074	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PPP1R16A	0	0	0	0	6	56	8	17	5	2	4	0	0	31
GPT	0	6	10	0	18	266	20	34	21	2	0	0	64	38
LOC105606073	0	2	7	18	76	10	46	124	76	0	2	2	58	16
LOC105606072	12	10	8	5	0	5	27	16	90	123	0	2	40	4
LOC105606070	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606069	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101109686	0	0	0	2	0	24	0	0	0	0	0	0	0	0
LOC101109428	0	0	6	0	0	10	0	0	0	0	0	0	0	0
LOC101108900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101108639	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606067	0	0	0	0	0	5	0	0	3	8	5	0	17	2
LOC101108375	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101108116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101107852	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101107586	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606066	21	35	24	15	7	53	22	49	42	20	19	22	30	15
LOC105606065	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606064	0	1	0	2	1	9	2	2	0	0	1	2	0	1
LOC105606063	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606062	24	55	0	26	7	163	11	238	123	38	9	120	107	39
LOC106992039	0	0	0	0	0	0	0	0	16	0	0	0	6	10
LOC101107342	0	0	0	1	0	0	0	0	72	29	0	6	55	88
LOC106990512	0	0	0	0	0	0	0	16	0	12	0	0	0	0
LOC106992038	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101113151	18	15	29	4	0	20	19	15	16	13	4	39	26	8
LOC101106834	0	48	0	4	0	0	0	0	312	603	244	276	1036	352
LOC101106577	0	0	0	0	0	0	0	0	0	0	0	5	0	0
LOC101106315	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LOC101106065	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101105810	0	0	2	0	0	0	0	0	0	20	0	0	0	0
LOC105606059	3	0	0	0	0	0	0	0	3	0	0	0	0	0
LOC105606058	4	0	0	4	0	0	0	0	1	0	0	0	0	0
LOC101105065	1063	2195	1640	774	289	2140	3359	2945	509	219	368	523	200	149
LOC105606057	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104818	348	381	129	186	68	40	956	120	1877	1153	4340	1015	1200	1578
LOC101104566	203	252	440	209	21	201	465	185	180	106	255	211	117	91
LOC106992037	60	19	15	86	6	47	91	83	0	9	0	0	4	6
LOC105606054	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606053	0	62	42	99	9	103	17	48	161	235	85	12	0	62
LOC101103550	0	16	0	2	4	10	8	21	18	22	10	12	4	13
LOC101103307	134	655	314	172	0	0	0	0	139	614	35	485	47	1267
CECR6	2	0	0	0	0	0	0	0	0	0	0	10	10	0
LOC105606051	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606050	0	0	58	0	0	0	0	0	0	0	0	0	8	0
LOC101102799	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101102551	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101102299	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LOC101123359	595	693	500	493	305	2395	1723	2429	1193	333	597	396	1477	598
LOC101122848	4	0	14	2	12	146	73	95	170	0	19	314	86	2
LOC105606049	0	0	0	0	0	0	0	0	39	7	0	0	0	0
LOC101122587	0	12	11	1	3	0	4	8	19	0	2	5	26	16
LOC105606048	26	53	0	15	3	0	0	13	13	21	12	2	0	5
LOC101122341	75	46	51	125	0	27	0	4	424	537	323	950	250	151
LOC101122092	0	8	0	14	12	19	5	15	3	8	1	12	12	8
LOC105606047	0	0	0	0	0	0	0	0	0	0	0	0	5	0
LOC105606046	0	0	0	0	0	0	0	0	0	1	0	1	0	0
LOC101121333	0	0	0	29	0	0	0	0	0	8	0	5	0	0
LOC101121082	0	0	0	2	0	0	0	0	0	0	0	6	0	0
LOC101120818	2	5	4	2	6	39	14	15	6	18	3	26	10	12
MRPS2	2	2	13	0	13	52	7	37	8	10	0	6	4	0
LCN10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606044	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101119804	2	26	2	0	2	8	8	4	0	0	0	0	0	0
LOC105606042	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPPC	0	24	18	0	0	0	4	0	223	130	4	7	689	74
LOC105601850	0	4	0	0	0	0	0	0	51	6	0	0	2	18
LOC101119029	0	0	0	0	0	0	0	0	0	0	33	0	0	10
LOC105606040	0	0	0	0	0	0	0	0	0	6	0	0	0	0
LOC105606039	0	0	0	0	2	174	0	11	0	16	0	0	0	0
LOC101118770	0	2	0	0	0	0	0	1	1	0	2	0	2	0
LOC101119576	1383	1360	1297	1150	472	3996	1586	2526	4832	4627	7426	7978	5156	6724
LOC101118256	0	0	0	0	0	0	0	0	0	1	1	0	0	1
LOC101117232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606037	0	0	0	5	2	0	0	0	109	218	80	59	143	8
LOC105606036	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101116715	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC105606035	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606034	0	0	0	0	0	0	4	6	0	0	0	2	0	0
LOC101116464	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101116217	0	1	3	0	2	0	2	0	0	2	0	0	0	2
TRNAC-ACA	0	2	4	0	2	3	36	22	0	0	0	0	2	0
LOC105606031	0	0	0	0	0	0	0	0	4	2	0	0	0	10
LOC105606030	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC105606029	0	0	0	0	0	0	0	0	3	2	0	0	0	3
LOC443313	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101115104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606028	0	0	0	0	0	0	0	0	0	13	0	0	0	0
LOC105606027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606026	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-UGC	3	0	1	0	2	4	0	0	12	5	0	0	0	1
LOC101114504	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606024	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606023	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101114000	0	1	1	0	0	0	25	0	1	0	0	0	0	0
LOC101113741	12	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC101113478	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100846990	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101113217	0	10	0	0	0	0	0	0	0	0	0	0	1	0
LOC101112964	0	0	0	0	0	2	0	0	0	7	5	0	0	0
LOC105606022	5374	12729	7620	10648	0	8	0	11	9452	25493	25157	14190	10272	5739
LOC105606021	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101112713	0	0	0	34	0	0	0	0	0	0	0	0	0	0
LOC101112465	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101112208	33	38	3	22	0	19	29	34	431	276	225	213	914	159
LOC101111949	0	0	0	0	0	0	0	0	0	0	0	5	0	2
LOC101111437	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101111174	49	64	97	93	0	0	0	0	39	0	4	27	29	16
LOC105613971	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101110921	0	0	0	2	0	0	0	0	1	0	3	13	5	0
LOC105606018	6	17	0	2	0	0	0	0	18	14	38	6	2	9
LOC105606017	0	0	0	0	10	10	0	4	0	0	0	0	0	0
LOC105606016	12	0	2	0	0	25	0	5	0	0	1	21	9	46
LOC101110404	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC101110134	0	37	2	0	0	0	0	0	0	0	2	0	0	0
LOC105606015	8	54	134	8	24	173	104	51	16	0	16	139	3	17
LOC101109870	165	2	0	15	0	0	0	14	4	3	4	1	7	1
LOC101109081	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC101108819	0	0	0	0	0	0	0	0	0	0	10	0	0	0
LOC105606011	185	1008	532	646	0	0	1	0	414	2400	1202	2272	605	259
LOC105606009	0	0	0	0	0	0	0	1	11	0	0	4	8	0
LOC101108297	0	2	0	0	0	0	0	0	0	4	1	21	4	0
LOC105606008	0	0	0	0	0	5	0	0	0	24	1	0	0	3
LOC105614484	0	16	16	5	0	0	0	0	34	67	0	46	0	10
LOC443035	0	0	0	0	0	4	0	2	0	5	0	0	2	0
LOC105606007	0	0	0	0	0	26	0	0	4	9	8	12	0	8
LOC105606006	0	0	0	0	0	0	0	2	25	12	11	2	9	2
LOC105606005	0	2	0	0	0	0	0	0	0	0	0	0	0	4
LOC105606004	0	0	0	0	0	1	0	0	13	13	0	0	0	0
LOC101106752	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC105612641	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101106243	0	7	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606001	56	10	89	18	82	741	245	655	234	0	162	58	63	89
LOC105606002	0	0	0	0	2	6	11	4	1	0	0	0	9	0
LOC101105989	0	0	0	0	0	23	80	0	0	0	0	0	0	0
CYP2C19	0	0	0	0	0	0	0	14	0	0	0	0	0	0
LOC105606000	17	14	23	22	0	107	2	67	57	81	158	115	61	80
LOC101105483	2	0	0	0	0	0	0	0	0	5	3	0	0	2
LOC105605999	0	0	0	0	0	0	0	0	9	0	0	0	0	0
LOC101105228	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104974	0	0	0	18	0	0	0	0	0	0	0	0	0	0
LOC101104726	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104468	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104216	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LOC101103958	0	3	0	0	0	0	0	0	0	0	0	0	0	0
LOC101103707	0	0	0	0	0	0	0	0	13	9	0	10	31	7
LOC105605996	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605995	0	78	0	0	4	31	14	4	75	154	49	90	150	25
LOC101103460	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101103220	912	1085	692	1076	296	8527	2181	4667	358	132	307	995	507	506
LOC105605992	0	1	0	0	0	1	0	3	0	8	9	14	0	0
LOC101102967	5	0	6	1	0	4	0	0	0	34	0	1	9	0
LOC101102215	0	0	0	4	10	209	186	167	0	0	6	14	46	59
LOC101102464	0	0	0	0	0	0	0	0	0	0	0	1	0	2
LOC105605991	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LOC101123279	2342	2483	3918	3096	1374	7741	13680	7166	674	202	676	1593	967	1230
TRNAS-GGA	11	5	7	0	12	49	44	33	0	0	5	0	4	4
LOC105605990	0	0	0	0	0	0	0	0	0	0	0	159	0	0
LOC105605988	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC101122847	0	0	0	0	0	0	0	0	0	0	4	0	0	1
LOC101122586	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101122340	0	0	0	0	0	0	0	0	14	86	45	0	400	116
SLC2A5	0	1	0	0	2	44	83	40	36	30	53	24	0	0
LOC105605987	0	0	0	0	0	0	0	0	0	8	0	0	0	0
LOC101121839	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605986	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC101121584	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101121331	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101121080	0	0	0	0	0	0	0	0	0	0	0	0	0	22
LOC101120817	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605984	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101120560	4	0	1	5	47	294	123	254	40	0	0	0	0	0
LOC101120064	4	18	0	0	0	0	0	0	141	60	60	35	65	0
PSMG4	36	90	64	64	64	297	258	290	158	31	58	43	131	187
LOC101119545	1	22	0	3	0	0	3	11	33	123	2	51	9	7
LOC101119028	0	0	0	0	0	0	0	0	0	3	0	0	0	0
TRNAW-CCA	4	4	33	49	12	55	28	38	2	23	15	5	4	19
LOC101118597	105	156	139	125	47	376	78	258	813	739	276	970	411	738
LOC443259	8	2	3	10	0	0	0	0	63	110	80	68	48	37
LOC105605981	0	0	0	10	0	0	8	8	0	22	21	9	0	0
LOC106990116	1	0	0	0	0	0	0	0	0	13	2	0	7	1
EP4A	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC101107641	7	6	2	0	0	0	0	4	0	103	0	14	0	0
TRNAC-GCA	11	4	48	55	21	104	141	69	12	76	44	41	31	66
LOC105605980	0	0	0	0	0	0	0	0	0	0	0	0	2	1
LOC105605978	107	243	0	42	2	43	37	21	376	35	17	31	0	71
LOC101117231	0	0	0	0	1	19	0	5	0	0	0	0	0	0
TNFSF14	0	0	0	0	0	0	0	0	0	0	2	6	8	0
LGALS15	17	31	97	53	0	4	102	4	38	36	28	69	17	63
LOC101115949	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101115196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC106990592	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101114430	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101114179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101113923	8	0	58	0	0	0	0	38	138	11	49	173	132	0
LOC101113476	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101113215	4	0	2	0	0	0	0	0	0	0	0	0	0	0
LOC101112463	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101112206	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC101111947	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605975	15	0	0	0	0	0	0	0	0	0	0	2	0	30
LOC105605974	10	87	207	0	0	0	0	0	65	177	152	244	381	202
LOC106992036	0	4	12	4	0	0	0	0	1	119	4	57	116	125
LOC101111435	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105613935	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105613933	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101110403	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605971	0	0	0	0	0	8	1	18	0	0	0	0	15	0
LOC105605970	0	55	0	0	0	0	0	0	55	170	56	41	78	61
LOC101110133	265	316	300	166	23	192	110	381	1040	554	1308	735	661	257
LOC105605969	0	0	14	0	7	6	8	2	1	0	5	10	3	0
LOC101109603	5852	7583	3463	4156	6	76	38	14	19036	62644	805	8986	39423	20869
LOC106992035	129	93	0	100	3	182	5	88	363	393	70	208	197	242
LOC106992034	0	0	2	0	0	1	0	0	0	3	21	2	0	14
LOC101109343	10	5	25	3	0	15	0	3	26	5	10	2	127	21
LOC101109080	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605967	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101108558	14	163	0	1	0	8	24	13	55	28	19	5	5	53
LOC101108296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105612408	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605965	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605964	0	0	0	0	0	1	7	3	0	0	0	0	0	0
LOC101107772	568	587	782	585	4	0	0	0	2	596	0	0	4	21
LOC105605963	8	0	0	0	6	26	0	11	120	162	230	187	216	24
LOC101107508	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605962	12	0	0	0	0	0	0	0	32	71	0	0	63	9
LOC101107262	0	0	0	8	0	14	0	50	0	26	56	197	0	180
LOC101107004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101106751	54	249	34	3	18	554	65	213	3239	3946	3524	2240	3519	985
LOC105605961	170	37	253	123	4	0	0	0	2	253	0	3	33	0
LOC101106242	0	0	0	0	0	0	7	0	0	0	0	0	0	0
LOC105605960	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101105987	0	2	0	0	0	15	0	2	0	0	0	0	0	0
LOC105605959	0	2	0	0	0	0	0	0	0	0	0	4	0	0
LOC101105731	0	0	0	0	0	0	0	0	0	0	0	1	3	0
LOC106992033	0	0	0	0	0	0	0	0	0	0	6	0	0	0
